nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30264,36092407.760284334,58427.200664558455,3633,3713,7344,15559,14.440000000006156
30279,36011721.781024516,58438.993468217835,3678,3679,7225,15682,14.43500000000615
30294,35902436.817150556,58124.91339945681,3686,3766,7133,15694,14.430000000006144
30309,36026814.28667014,57292.83336529904,3753,3789,7204,15548,14.425000000006138
30324,35924902.84942495,57059.80131082387,3786,3750,7210,15563,14.420000000006132
30339,35948128.82008668,56776.070560521475,3729,3846,7268,15481,14.415000000006126
30354,35797331.68235515,56954.879484992605,3694,3836,7202,15607,14.41000000000612
30369,35841057.01819349,56756.40380768151,3710,3817,7355,15472,14.405000000006114
30384,35839298.913713634,57201.25722304685,3751,3714,7305,15599,14.400000000006107
30399,35830354.56203137,57122.24577034095,3745,3725,7238,15676,14.395000000006101
30414,36014481.97067099,56909.81900547656,3770,3858,7218,15553,14.390000000006095
30429,35906105.883186646,56923.659055951175,3737,3721,7420,15536,14.38500000000609
30444,36210601.562104195,56857.53731326837,3841,3742,7314,15532,14.380000000006083
30459,36013591.59990117,56721.080415338365,3768,3844,7298,15534,14.375000000006077
30474,35996712.61097884,56758.51288781437,3702,3902,7330,15525,14.37000000000607
30489,36175081.121238016,56576.865670709434,3757,3830,7437,15450,14.365000000006065
30504,36154204.164823696,56773.43391095866,3753,3809,7356,15571,14.360000000006059
30519,36162168.23567483,56833.45380457608,3791,3837,7320,15556,14.355000000006052
30534,36039793.76067495,57038.007076956725,3753,3946,7263,15557,14.350000000006046
30549,36245782.83972931,57106.48020722777,3847,3697,7392,15598,14.34500000000604
30564,36052405.065531805,56684.0828080115,3711,3751,7517,15570,14.340000000006034
30579,36055944.63256906,57057.73076521941,3741,3749,7453,15621,14.335000000006028
30594,36172932.069940075,56741.71848333039,3746,3763,7462,15608,14.330000000006022
30609,36256296.105545916,56698.55629991777,3780,3790,7447,15577,14.325000000006016
30624,36302188.48806889,56941.09447588466,3819,3824,7333,15633,14.32000000000601
30639,36309715.33504208,56715.312979583076,3782,3713,7514,15615,14.315000000006004
30654,36302728.49653903,56648.191968094485,3800,3858,7418,15563,14.310000000005997
