nb_people,total_electric,switched_to_electric,total_relocations
30553,3833,2419,190
30913,6301,2460,3199
31273,8653,2347,6259
31633,10569,1909,9319
31993,12036,1461,12228
32353,13244,1201,12754
32713,14447,1199,12847
33073,15606,1153,12874
33433,16755,1140,12894
33793,17906,1140,12906
34175,19044,1132,12915
34595,20146,1094,12918
