nb_people,total_electric,switched_to_electric,total_relocations
30118,1912,590,215
30478,2518,600,215
30838,3127,600,215
31198,3733,600,215
31558,4338,600,215
31918,4942,600,215
32278,5548,600,215
32638,6151,600,215
32998,6762,600,215
33358,7365,600,215
33718,7972,600,215
34087,8581,600,215
34507,9184,600,215
34927,9793,600,215
35347,10405,600,215
35767,11012,600,215
36187,11609,592,215
36607,12156,541,215
37027,12712,540,215
