nb_people,total_electric,switched_to_electric,total_relocations
30547,1932,590,209
30907,2535,600,3218
31267,3146,600,6278
31627,3703,549,9338
31987,4155,445,12398
32347,4491,335,14521
32707,4796,300,15116
33067,5106,300,15362
33427,5412,300,15534
33787,5718,300,15696
34168,6027,300,15844
34588,6343,300,15959
