nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30194,48345421.71452483,52365.49625022168,6002,3829,5906,14442,0.30179000000016104
30209,47869868.8041647,52680.63473691758,6000,3637,5930,14627,0.30179000000016104
30224,47824821.837084234,51850.307071756,5984,3789,5956,14480,0.30179000000016104
30239,47509907.98058729,51287.27482488968,5988,3790,6066,14380,0.30179000000016104
30254,48366698.647414535,51093.49474742115,6155,3807,5932,14345,0.30179000000016104
30269,47691778.08423708,51493.8163613567,6065,3657,5977,14555,0.30179000000016104
30284,48149378.48648938,51275.17512196404,6151,3745,5936,14437,0.30179000000016104
30299,47861890.3517875,51236.001764866065,6085,3737,5993,14469,0.30179000000016104
30314,48139181.72991781,51308.186165751824,6165,3745,5898,14491,0.30179000000016104
30329,48072693.156749964,51142.58577393875,6131,3740,5996,14447,0.30179000000016104
30344,47927832.94808879,51482.6613483991,6147,3697,5955,14530,0.30179000000016104
30359,47563546.41715643,51464.2571637794,6070,3744,5975,14555,0.30179000000016104
30374,48157080.72846974,51148.63853348144,6102,3788,5989,14480,0.30179000000016104
30389,48295896.27340648,51152.18715238151,6219,3708,5964,14483,0.30179000000016104
30404,48066729.424282424,50767.89413880499,6127,3788,6078,14396,0.30179000000016104
30419,48242829.044480085,51242.94005176126,6194,3689,5986,14535,0.30179000000016104
30434,47713960.55438672,51402.57500542276,6126,3742,5993,14558,0.30179000000016104
30449,48345169.73610696,51090.670361974255,6181,3771,5962,14520,0.30179000000016104
30464,48271236.063744426,50774.99982594179,6169,3814,6069,14397,0.30179000000016104
30479,48443002.249679066,50495.020756463564,6135,3926,6027,14376,0.30179000000016104
30494,48411632.867804505,50679.664924519624,6163,3854,5994,14468,0.30179000000016104
30509,48744117.78022661,50490.73928621019,6224,3823,6087,14360,0.30179000000016104
30524,48472053.61410391,50528.5467764337,6188,3742,6119,14460,0.30179000000016104
30539,48663078.53827558,50811.160619299524,6274,3758,6018,14474,0.30179000000016104
30554,48517408.59590913,50839.59190337614,6245,3737,6041,14516,0.30179000000016104
30569,48752732.82972921,50541.9419908496,6229,3804,6070,14451,0.30179000000016104
30584,48370578.658802904,50456.50174397696,6195,3787,6174,14413,0.30179000000016104
30599,48574223.64108805,50661.64556617378,6204,3777,6058,14545,0.30179000000016104
30614,48579651.762201145,50397.72027490717,6217,3846,6112,14424,0.30179000000016104
