nb_people,total_time_to_work,emissions,walkers,bikers,TPG_users,car_users,tax_sum
30137,59372997.41296086,61069.53482650047,5488,3435,5843,15356,14.37800000000608
30152,59222043.73456845,60633.23824324088,5524,3518,5779,15316,14.373000000006074
30167,58723426.966264345,60223.580639362044,5488,3560,5846,15258,14.368000000006068
30182,58979242.82009519,59907.7250639577,5578,3499,5750,15340,14.363000000006062
30197,58823503.004508086,59607.057696024596,5548,3518,5841,15275,14.358000000006056
30212,58718394.47454735,59162.31742353315,5571,3549,5831,15246,14.35300000000605
30227,59472212.63773001,58816.270829425535,5652,3478,5823,15259,14.348000000006044
30242,58105452.037670515,59123.93476177175,5569,3560,5753,15345,14.343000000006038
30257,58884469.05104436,58605.53418055961,5533,3458,5945,15306,14.338000000006032
30272,59320593.93609264,58261.48555316968,5675,3420,5956,15206,14.333000000006026
30287,58514802.6741721,58132.46549209583,5558,3528,5942,15244,14.32800000000602
30302,58179182.75751459,58314.10381653706,5540,3579,5890,15278,14.323000000006013
30317,59527777.07867792,58167.132746008516,5646,3509,5914,15233,14.318000000006007
30332,58816643.158145234,58299.53621947338,5581,3654,5859,15223,14.313000000006001
30347,58975975.7320749,58470.13878428217,5597,3464,5943,15328,14.308000000005995
30362,59256479.620234616,58164.93074512736,5615,3502,5993,15237,14.303000000005989
30377,59545397.18999723,58264.315498393575,5645,3582,5913,15222,14.298000000005983
30392,59667369.78826982,58199.61410203933,5685,3565,5923,15204,14.293000000005977
30407,59290734.249634035,58519.289345232195,5670,3513,5905,15304,14.28800000000597
30422,59915291.20163663,58137.115841231534,5755,3561,5927,15164,14.283000000005964
30437,59576080.3019567,57858.11499498195,5662,3537,6021,15202,14.278000000005958
30452,58777318.44161404,58806.523776916554,5611,3481,5949,15396,14.273000000005952
30467,59418200.78491437,58587.578805952,5698,3412,5981,15361,14.268000000005946
30482,58988743.56541608,58438.487153874274,5635,3496,6019,15317,14.26300000000594
30497,59416887.30543119,58037.63561989084,5663,3451,6163,15205,14.258000000005934
30512,60384166.99092783,57890.14852515314,5776,3477,6023,15221,14.253000000005928
30527,59462007.91028798,58386.914816712306,5693,3467,6013,15339,14.248000000005922
30542,59196892.759234175,58378.381405183776,5604,3540,6076,15307,14.243000000005916
30557,59593742.30849359,58131.1969028603,5657,3618,6010,15257,14.23800000000591
30572,59481977.87515453,57947.036187656224,5593,3558,6198,15208,14.233000000005903
30587,59357557.96638454,58683.22347711279,5677,3462,6046,15387,14.228000000005897
30602,60730293.65292755,58207.42100407712,5819,3496,5967,15305,14.223000000005891
30617,58824330.08615987,58765.271387526765,5653,3618,5956,15375,14.218000000005885
30632,59475509.82812544,58109.62154989944,5645,3571,6155,15246,14.213000000005879
30647,59097435.58595236,58343.50268988653,5606,3694,6067,15265,14.208000000005873
30662,60881258.0276042,57815.327207115406,5776,3625,6012,15234,14.203000000005867
30677,59951226.250802495,58160.8830788946,5725,3588,6111,15238,14.19800000000586
30692,59571152.60369086,58532.47843390381,5689,3479,6153,15356,14.193000000005854
30707,59553521.715904616,58331.678834763785,5648,3541,6145,15358,14.188000000005848
30722,59881185.05031194,58486.3767279596,5680,3607,6052,15368,14.183000000005842
30737,60311307.000106275,57939.489960204395,5725,3617,6138,15242,14.178000000005836
30752,59980654.05768568,58244.47225461853,5711,3595,6188,15243,14.17300000000583
30767,60401287.38637118,58199.81517508125,5735,3500,6175,15342,14.168000000005824
30782,60480992.82653733,58091.4543359983,5832,3513,6170,15252,14.163000000005818
30797,59681818.52527129,58134.189140917515,5674,3674,6109,15325,14.158000000005812
30812,59234361.714057,58378.86416544393,5628,3615,6206,15348,14.153000000005806
30827,59914513.940859415,58528.40554948868,5719,3597,6082,15414,14.1480000000058
30842,60115723.25224049,58705.87661429551,5822,3413,6091,15501,14.143000000005793
30857,60549779.10031352,57928.697682122845,5764,3606,6194,15278,14.138000000005787
30872,60494414.11142683,58235.55541062492,5840,3561,6129,15327,14.133000000005781
30887,59915385.78264322,58351.5690595549,5733,3630,6162,15347,14.128000000005775
30902,60939984.85049122,58472.350153925254,5844,3527,6058,15458,14.123000000005769
30917,60778240.52681059,58244.03536640571,5827,3635,6126,15314,14.118000000005763
30932,60909335.397319406,58196.11366451492,5823,3639,6078,15377,14.113000000005757
30947,60242512.861332715,58834.36810589576,5777,3619,6018,15518,14.10800000000575
30962,60010098.849891715,58783.56189850003,5679,3572,6234,15462,14.103000000005744
30977,60807806.596645914,58216.77854775481,5828,3680,6107,15347,14.098000000005738
30992,61023184.900473714,57882.756870638535,5804,3689,6224,15260,14.093000000005732
31007,60634868.30225064,58633.717182651286,5825,3482,6224,15461,14.088000000005726
31022,60166351.42664763,58511.09684278854,5711,3611,6233,15452,14.08300000000572
31037,61555085.18935662,57860.92433306573,5919,3588,6189,15326,14.078000000005714
31052,60277803.05906937,58278.05979277917,5775,3615,6217,15430,14.073000000005708
31067,60122491.50335705,58642.674161279676,5718,3553,6290,15491,14.068000000005702
31082,61090640.803493924,58244.68455058514,5865,3599,6225,15378,14.063000000005696
